FECHA LANCE;LATITUD;LONGITUD;No LANCE;TIPO LANCE;TALLA;
15/03/2005;15;95;29;LANATUN;68;
15/03/2005;15;95;29;LANATUN;67;
15/03/2005;15;95;29;LANATUN;69;
15/03/2005;15;95;29;LANATUN;70;
15/03/2005;15;95;29;LANATUN;71;
15/03/2005;15;95;29;LANATUN;73;
15/03/2005;15;95;29;LANATUN;70;
15/03/2005;15;95;29;LANATUN;68;
15/03/2005;15;95;29;LANATUN;67;
16/03/2005;15;95;32;LANATUN;73;
16/03/2005;15;95;32;LANATUN;72;
16/03/2005;15;95;32;LANATUN;69;
16/03/2005;15;95;32;LANATUN;71;
16/03/2005;15;95;32;LANATUN;70;
16/03/2005;15;95;32;LANATUN;72;
16/03/2005;15;95;32;LANATUN;68;
16/03/2005;15;95;32;LANATUN;71;
16/03/2005;15;95;32;LANATUN;73;
16/03/2005;15;95;32;LANATUN;74;
16/03/2005;15;95;32;LANATUN;70;
16/03/2005;15;95;32;LANATUN;71;
16/03/2005;15;95;32;LANATUN;72;
16/03/2005;15;95;32;LANATUN;70;
16/03/2005;15;95;32;LANATUN;68;
16/03/2005;15;95;32;LANATUN;70;
16/03/2005;15;95;32;LANATUN;72;
16/03/2005;15;95;32;LANATUN;71;
16/03/2005;15;95;32;LANATUN;69;
16/03/2005;15;95;32;LANATUN;70;
16/03/2005;15;95;32;LANATUN;68;
16/03/2005;15;95;32;LANATUN;70;
16/03/2005;15;95;32;LANATUN;73;
16/03/2005;15;95;32;LANATUN;71;
16/03/2005;15;95;32;LANATUN;68;
16/03/2005;15;95;32;LANATUN;67;
16/03/2005;15;95;32;LANATUN;69;
16/03/2005;15;95;32;LANATUN;72;
16/03/2005;15;95;32;LANATUN;74;
16/03/2005;15;95;32;LANATUN;71;
16/03/2005;15;95;32;LANATUN;70;
16/03/2005;15;95;32;LANATUN;73;
16/03/2005;15;95;32;LANATUN;71;
16/03/2005;15;95;32;LANATUN;69;
16/03/2005;15;95;32;LANATUN;71;
16/03/2005;15;95;32;LANATUN;70;
16/03/2005;15;95;32;LANATUN;69;
16/03/2005;15;95;32;LANATUN;68;
16/03/2005;15;95;32;LANATUN;71;
16/03/2005;15;95;32;LANATUN;68;
16/03/2005;15;95;32;LANATUN;71;
16/03/2005;15;95;32;LANATUN;69;
16/03/2005;15;95;32;LANATUN;73;
19/03/2005;15;95;35;LANATUN;75;
19/03/2005;15;95;35;LANATUN;76;
19/03/2005;15;95;35;LANATUN;73;
19/03/2005;15;95;35;LANATUN;77;
19/03/2005;15;95;35;LANATUN;70;
19/03/2005;15;95;35;LANATUN;71;
19/03/2005;15;95;35;LANATUN;78;
19/03/2005;15;95;35;LANATUN;81;
