FECHADMA;LATITUD;LONGITUD;TIPOLANCE;TALLA
20/07/2007;24;112;LANATUN;40
20/07/2007;24;112;LANATUN;40
20/07/2007;24;112;LANATUN;40
20/07/2007;24;112;LANATUN;40
20/07/2007;24;112;LANATUN;40
20/07/2007;24;112;LANATUN;40
20/07/2007;24;112;LANATUN;40
20/07/2007;24;112;LANATUN;40
26/07/2007;26;114;LANATUN;40
26/07/2007;26;114;LANATUN;40
26/07/2007;26;114;LANATUN;40
26/07/2007;26;114;LANATUN;40
26/07/2007;26;114;LANATUN;40
26/07/2007;26;114;LANATUN;40
26/07/2007;26;114;LANATUN;40
26/07/2007;26;114;LANATUN;40
26/07/2007;26;114;LANATUN;40
26/07/2007;26;114;LANATUN;40
26/07/2007;26;114;LANATUN;40
26/07/2007;26;114;LANATUN;40
26/07/2007;26;114;LANATUN;40
26/07/2007;26;114;LANATUN;40
26/07/2007;26;114;LANATUN;40
26/07/2007;26;114;LANATUN;40
30/08/2007;25;112;LANATUN;40
30/08/2007;25;112;LANATUN;40
30/08/2007;25;112;LANATUN;40
30/08/2007;25;112;LANATUN;40
26/01/2007;11;101;LANATUN;40
26/01/2007;11;101;LANATUN;40
24/03/2007;15;95;LANATUN;40
31/03/2007;15;95;LANATUN;40
27/07/2007;31;116;LANATUN;40
04/08/2007;32;117;LANATUN;40
05/08/2007;32;118;LANATUN;40
09/06/2007;16;117;LANATUN;41
09/06/2007;16;117;LANATUN;41
09/06/2007;16;117;LANATUN;41
09/06/2007;16;117;LANATUN;41
09/06/2007;16;117;LANATUN;41
03/05/2007;9;100;LANATUN;41
20/07/2007;24;112;LANATUN;41
20/07/2007;24;112;LANATUN;41
26/07/2007;26;114;LANATUN;41
19/07/2007;25;112;LANATUN;41
19/07/2007;25;112;LANATUN;41
19/07/2007;25;112;LANATUN;41
19/07/2007;25;112;LANATUN;41
19/07/2007;25;112;LANATUN;41
19/07/2007;25;112;LANATUN;41
19/07/2007;25;112;LANATUN;41
19/07/2007;25;112;LANATUN;41
19/07/2007;25;112;LANATUN;41
19/07/2007;25;112;LANATUN;41
19/07/2007;25;112;LANATUN;41
19/07/2007;25;112;LANATUN;41
20/07/2007;24;112;LANATUN;41
20/07/2007;24;112;LANATUN;41
20/07/2007;24;112;LANATUN;41
20/07/2007;24;112;LANATUN;41
20/07/2007;24;112;LANATUN;41
20/07/2007;24;112;LANATUN;41
20/07/2007;24;112;LANATUN;41
20/07/2007;24;112;LANATUN;41
20/07/2007;24;112;LANATUN;41
20/07/2007;24;112;LANATUN;41
20/07/2007;24;112;LANATUN;41
20/07/2007;24;112;LANATUN;41
26/07/2007;26;114;LANATUN;41
26/07/2007;26;114;LANATUN;41
30/08/2007;25;112;LANATUN;41
30/08/2007;25;112;LANATUN;41
26/01/2007;11;101;LANATUN;41
26/01/2007;11;101;LANATUN;41
26/01/2007;11;101;LANATUN;41
26/01/2007;11;101;LANATUN;41
26/01/2007;11;101;LANATUN;41
24/03/2007;15;95;LANATUN;41
24/03/2007;15;95;LANATUN;41
24/03/2007;15;95;LANATUN;41
29/03/2007;15;97;LANATUN;41
31/03/2007;15;95;LANATUN;41
31/03/2007;15;95;LANATUN;41
31/03/2007;15;95;LANATUN;41
31/03/2007;15;95;LANATUN;41
09/06/2007;16;117;LANATUN;42
19/07/2007;25;112;LANATUN;42
20/07/2007;24;112;LANATUN;42
20/07/2007;24;112;LANATUN;42
20/07/2007;24;112;LANATUN;42
20/07/2007;24;112;LANATUN;42
20/07/2007;24;112;LANATUN;42
20/07/2007;24;112;LANATUN;42
20/07/2007;24;112;LANATUN;42
26/07/2007;26;114;LANATUN;42
26/07/2007;26;114;LANATUN;42
26/07/2007;26;114;LANATUN;42
26/07/2007;26;114;LANATUN;42
26/07/2007;26;114;LANATUN;42
26/07/2007;26;114;LANATUN;42
26/08/2007;25;112;LANATUN;42
19/07/2007;25;112;LANATUN;42
19/07/2007;25;112;LANATUN;42
19/07/2007;25;112;LANATUN;42
19/07/2007;25;112;LANATUN;42
19/07/2007;25;112;LANATUN;42
19/07/2007;25;112;LANATUN;42
20/07/2007;24;112;LANATUN;42
20/07/2007;24;112;LANATUN;42
20/07/2007;24;112;LANATUN;42
20/07/2007;24;112;LANATUN;42
20/07/2007;24;112;LANATUN;42
20/07/2007;24;112;LANATUN;42
20/07/2007;24;112;LANATUN;42
20/07/2007;24;112;LANATUN;42
20/07/2007;24;112;LANATUN;42
20/07/2007;24;112;LANATUN;42
26/07/2007;26;114;LANATUN;42
26/07/2007;26;114;LANATUN;42
26/07/2007;26;114;LANATUN;42
26/07/2007;26;114;LANATUN;42
26/07/2007;26;114;LANATUN;42
30/08/2007;25;112;LANATUN;42
30/08/2007;25;112;LANATUN;42
